FinancialYear;PresentationType;StateOrTerritory;GeographicAreaType;GeographicAreaCode;GeographicAreaName;Measure;Value
2014–15;Mental health-related presentations;New South Wales;SA4;SA4121;Sydney - North Sydney and Hornsby;Number;2477
2014–15;Mental health-related presentations;New South Wales;SA4;SA4121;Sydney - North Sydney and Hornsby;Rate (per 10,000 population);60
2014–15;Mental health-related presentations;New South Wales;SA4;SA4122;Sydney - Northern Beaches;Number;1975
2014–15;Mental health-related presentations;New South Wales;SA4;SA4122;Sydney - Northern Beaches;Rate (per 10,000 population);76
2014–15;Mental health-related presentations;New South Wales;SA4;SA4123;Sydney - Outer South West;Number;2885
2014–15;Mental health-related presentations;New South Wales;SA4;SA4123;Sydney - Outer South West;Rate (per 10,000 population);112
2014–15;Mental health-related presentations;New South Wales;SA4;SA4124;Sydney - Outer West and Blue Mountains;Number;3523
2014–15;Mental health-related presentations;New South Wales;SA4;SA4124;Sydney - Outer West and Blue Mountains;Rate (per 10,000 population);114
2014–15;Mental health-related presentations;New South Wales;SA4;SA4125;Sydney - Parramatta;Number;3101
2014–15;Mental health-related presentations;New South Wales;SA4;SA4125;Sydney - Parramatta;Rate (per 10,000 population);70
2014–15;Mental health-related presentations;New South Wales;SA4;SA4126;Sydney - Ryde;Number;1315
2014–15;Mental health-related presentations;New South Wales;SA4;SA4126;Sydney - Ryde;Rate (per 10,000 population);72
2014–15;Mental health-related presentations;New South Wales;SA4;SA4127;Sydney - South West;Number;3518
2014–15;Mental health-related presentations;New South Wales;SA4;SA4127;Sydney - South West;Rate (per 10,000 population);88
2014–15;Mental health-related presentations;New South Wales;SA4;SA4128;Sydney - Sutherland;Number;1829
2014–15;Mental health-related presentations;New South Wales;SA4;SA4128;Sydney - Sutherland;Rate (per 10,000 population);82
2014–15;Mental health-related presentations;Victoria;SA4;SA4201;Ballarat;Number;1115
2014–15;Mental health-related presentations;Victoria;SA4;SA4201;Ballarat;Rate (per 10,000 population);72
2014–15;Mental health-related presentations;Victoria;SA4;SA4202;Bendigo;Number;1400
2014–15;Mental health-related presentations;Victoria;SA4;SA4202;Bendigo;Rate (per 10,000 population);93
2014–15;Mental health-related presentations;Victoria;SA4;SA4203;Geelong;Number;1828
2014–15;Mental health-related presentations;Victoria;SA4;SA4203;Geelong;Rate (per 10,000 population);67
2014–15;Mental health-related presentations;Victoria;SA4;SA4204;Hume;Number;1440
2014–15;Mental health-related presentations;Victoria;SA4;SA4204;Hume;Rate (per 10,000 population);86
